smiles,toxic,non_toxic_strict,n_labeled_endpoints,scaffold
CC(O)(P(=O)(O)O)P(=O)(O)O,0,1,12,
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0,1,11,
OC[C@@H](O)[C@H](O)[C@@H](O)CO,0,1,11,
CCCCCCCC(=O)[O-].CCCCCCCC(=O)[O-].[Zn+2],0,0,2,
CC(C)COC(=O)C(C)C,0,1,12,
C=C(C)C(=O)OCCOC(=O)C(=C)C,0,1,12,
CCCCCCCCCCOCC(O)CN,0,0,5,
C#CCO,0,1,12,
CC(O)CC(C)(C)O,0,1,12,
CC(C)(C)CC(C)(C)N,0,1,12,
CC(=O)CC(C)C,0,1,12,
CCCC(C)=O,0,1,12,
CCCCNC(=S)NCCCC,1,0,12,
CCCCNC(=O)NCCCC,0,1,12,
CCCCCCCC/C=C\CCCCCCCC(=O)OC(CO)CO,1,0,11,
CC/C=C\CCCCO,0,1,12,
CC(=O)CCC(C)=O,0,1,12,
N#CCCNCCC#N,0,1,12,
O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Ca+2],0,1,12,
CCCCCCCCCCCC(=O)NCCCN(C)C,0,0,3,
CC(C)CCCCCOC(=O)CCS,0,1,12,
CCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1,0,12,
F[B-](F)(F)F.[H+],0,1,11,
CCCCCC(C)O,0,1,12,
[I-].[K+],0,1,12,
C/C=C/C=C/C=O,1,0,12,
C[Si](C)(C)N[Si](C)(C)C,1,0,12,
C=CC(=O)OCCCl,0,1,11,
O=C(O)/C=C(\CC(=O)O)C(=O)O,0,1,11,
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,0,0,2,
CCCCC(=O)[O-],0,1,10,
CCCCCCCCCCCCCC(=O)OC,0,1,12,
CCCCCCC(C)O,0,1,12,
CCC[Si](OC)(OC)OC,0,1,12,
NCCNCCNCCN,0,1,11,
CCCCCNCCCCC,0,1,12,
COCC(C)O,1,0,12,
NCC(=O)CCC(=O)O,0,0,1,
ClCOCCl,1,0,12,
CC(O)CNCC(C)O,0,1,12,
[Cu][I],1,0,10,
CCCCC(CC)CCC(CC(C)C)OS(=O)(=O)[O-],0,1,12,
O=C(O)CCCCCCCCC(=O)O,0,1,12,
CCCCCCCC(=O)OC,0,1,12,
CC(O)COCC(C)O,0,1,12,
CO[Si](C)(C)OC,0,1,12,
CCCCCCCCCC=O,0,1,10,
BrCBr,0,1,12,
CCCCCCCCCC(=O)O,0,1,11,
O.O.O.O.O.O.O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Mg+2],0,1,12,
CCCCCCCCCOS(=O)(=O)[O-],1,0,12,
CCC(Cl)CCl,0,1,12,
C=CC(=O)OCCOC(=O)C=C,1,0,9,
CCCC[P+](CCCC)(CCCC)CCCC,0,1,11,
CCCCCCCCNC,0,1,12,
C=CC(=C)C,0,0,7,
CC(C)O,0,0,9,
CCCC(CCC)C(=O)[O-],0,1,11,
CC(C)C[P+](C)(CC(C)C)CC(C)C,0,1,12,
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,1,0,3,
O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl,1,0,11,
CC(C)CNCC(C)C,0,1,12,
NC(=S)NNC(N)=S,0,1,12,
NC(=S)C(N)=S,0,1,11,
[CH3][Hg][Cl],1,0,8,
[Hg+2],1,0,7,
CCCCCCCCCCCCNC(=N)N,0,1,10,
CCCCN(CCCC)C(=S)SSC(=S)N(CCCC)CCCC,1,0,8,
CNC(=O)/C=C(\C)OP(=O)(OC)OC,0,1,12,
CC=CC(=O)CC,0,1,12,
[O]=[Cr](=[O])([O-])[O][Cr](=[O])(=[O])[O-],1,0,8,
O=P(Cl)(Cl)Cl,0,1,12,
CC(N)CN,0,1,11,
CCC(C)O,0,1,11,
CCCCC(CC)CNC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NCC(CC)CCCC,0,0,1,
CC(O)CN,0,1,12,
COC(=O)[C@@H](N)CCCN/C(N)=N/[N+](=O)[O-],0,1,12,
CC(=O)[O][Cr]([OH])[O]C(C)=O.CC(=O)[O][Cr]([OH])[O]C(C)=O.CC(=O)[O][Cr]([O]C(C)=O)[O]C(C)=O,0,1,11,
C=C(C)C(=O)OCCNC(C)(C)C,0,1,12,
O=C(O)[C@@H](S)[C@H](S)C(=O)O,1,0,9,
O=C(CCS)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,1,0,10,
CC(C)(N)CO,0,1,11,
CC(C)(CO)CO,1,0,12,
O=[N+]([O-])C(CO)(CO)CO,1,0,12,
OCC(CO)(CO)COCC(CO)(CO)CO,0,1,11,
O=[N+]([O-])OCCN(CCO[N+](=O)[O-])CCO[N+](=O)[O-],0,1,12,
NC(CO)(CO)CO,0,1,12,
CO[Si](CCCS)(OC)OC,0,1,11,
C[N+](C)=CCl,0,1,12,
COC(=O)CCC(=O)O,0,1,12,
[O]=[Zr]([Cl])[Cl],0,1,11,
CN(C)C(=N)NC(=N)N,0,1,11,
CCC[CH2][Sn]([CH2]CCC)([O]C(C)=O)[O]C(C)=O,1,0,5,
CC(C)=CCC[C@H](C)CCO,0,1,12,
CC(C)CC(O)CC(C)C,0,1,12,
C=C(C)C(=O)OCCOP(=O)(O)OCCOC(=O)C(=C)C,0,1,12,
CC(C)OS(C)(=O)=O,0,1,10,
C=C(C)OC(C)=O,0,1,12,
CC(O)C#CC(C)O,1,0,6,
CCCCOCCO,0,1,12,
CCCN(CCC)C(=O)SCC,0,1,12,
N#CCCC#N,0,1,12,
CC(Cl)(Cl)C(=O)O,0,1,12,
O=C(CCl)CCl,1,0,8,
CC(=O)C(Cl)Cl,0,1,12,
CCCCOCCOCCOCCO,1,0,12,
CCCCCCCC/C=C/C(=O)[O-].CCCCCCCC/C=C/C(=O)[O-],0,0,2,
CCOC(=O)CC(=O)OCC,0,1,11,
CCCCCCCCCO,0,1,12,
CCCCCCNCCCCCC,0,1,12,
ClCCCCl,0,1,12,
CCCCCCOC(C)=O,0,1,12,
CCCCC(CC)COC(=O)CCCCCCCCC(=O)OCC(CC)CCCC,0,1,11,
CCOC(C)=O,0,1,11,
NCCNCCN,1,0,12,
CCOP(=O)(CC)OCC,0,1,11,
NC(=O)CCCCC(N)=O,0,1,12,
CNC(=O)ON=CC(C)(C)SC,0,1,12,
NN,1,0,12,
COC(C)(C)C,0,1,12,
COC(N)=O,0,1,12,
COC(=O)NN,0,1,10,
CCCCCCCCCCCCCCCCCCOCC(O)CO,1,0,9,
CSCCC=O,0,1,12,
CC(C)(C)C(=O)Cl,0,1,12,
CCCCC(CC)COC(=O)Cl,0,1,12,
CCCCC(CC)C(=O)[O-],0,1,12,
C/C=C/C=C/C(=O)[O-],0,1,12,
CCCCCC=CCC(=O)OC,0,1,12,
CCCCCCCCC(=O)OCC,0,1,12,
CCCCCCCC#N,0,1,11,
CCCCCCCCCCCCCC(=O)OCC,0,1,12,
CCCCCCC(O)CCOC(C)=O,0,1,12,
C=CCCCCCCCCO,0,1,12,
CCCCCCCCCCCCCCCCN,0,0,2,
CNC(=O)NC(O)C(Cl)(Cl)Cl,0,1,11,
CCCCCCC/C=C/C=O,0,0,9,
CC/C=C\CC/C=C/C(OCC)OCC,1,0,10,
C[C@@H](O)C(=O)O,1,0,12,
CCCCOCCOCCSC#N,0,1,12,
BrCCCBr,0,1,12,
CCCCCCCCCCCCCOS(=O)(=O)[O-],0,0,9,
O=S(=O)([O-])[O-].[Na+].[Na+],0,1,11,
CNCCO,0,1,12,
CCOC(C)(C)C,0,1,10,
COC=O,0,1,10,
COC(=O)CCC[N+](C)(C)C,0,1,10,
CC(CC=O)CCCC(C)(C)O,0,1,12,
CC(C)COC(=O)CCCCC(=O)OCC(C)C,0,1,12,
CCN(O)CC,0,0,9,
C=CC(=O)NC(C)C,0,1,12,
[O-][Cl+3]([O-])([O-])[O-],1,0,12,
CCN(C)N=O,0,1,11,
CCCCCO,0,1,11,
CCCN(CCC)N=O,0,1,12,
C[N+](C)(C)C,1,0,12,
C=C(C)C(=O)OC(C)C,0,1,11,
CCCC[N+](CCCC)(CCCC)CCCC,0,1,12,
CC(=O)CC(=O)OC(C)(C)C,0,1,11,
N=C(N)NN,1,0,12,
